country,Release Year,imdb_rating,show_id,release_year,year_added
Argentina,2017,7.2,80993656,2017,2018.0
"Argentina, France",2017,6.1,80232892,2017,2018.0
"Argentina, France, Germany",2017,6.3,80993650,2017,2018.0
"Argentina, Italy",2018,4.7,80103424,2016,2017.0
"Argentina, Spain",2018,5.5,80245357,2018,2018.0
Australia,2019,7.4,81108479,2019,2019.0
"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay",2014,6.1,80182274,2017,2017.0
"Australia, France, Ireland",2010,6.4,80046145,2010,2015.0
"Australia, India",2016,5.4,80115858,2016,2017.0
"Australia, United Arab Emirates",2017,6.4,80222177,2018,2018.0
"Australia, United Kingdom",1992,7.1,60022396,1992,2020.0
"Australia, United Kingdom, Canada",2014,6.5,80027378,2014,2018.0
"Australia, United Kingdom, United Arab Emirates, Canada",2015,5.9,80052828,2015,2018.0
"Australia, United States",2016,7.0,80170862,2018,2019.0
Austria,2018,6.6,81046255,2019,2020.0
Bangladesh,2018,7.4,81048548,2018,2019.0
Belgium,1995,5.0,80142550,2018,2019.0
"Belgium, France",2016,6.7,80152447,2016,2017.0
"Belgium, India, Australia",2017,6.0,80038446,2015,2017.0
"Belgium, Luxembourg, France",1954,6.4,81034575,2018,2019.0
"Belgium, Netherlands",2018,7.2,81004374,2019,2019.0
Brazil,2019,7.0,81020531,2019,2019.0
"Brazil, Canada",2015,6.1,80093812,2015,2016.0
"Brazil, France",2016,7.5,80113667,2016,2017.0
"Brazil, France, Germany",2011,7.1,60026106,2002,2020.0
"Brazil, Netherlands, United States, Colombia, Austria, Germany",2016,5.2,80135149,2016,2017.0
"Brazil, United States",2011,7.3,81137484,2012,2019.0
Bulgaria,2018,3.4,80119177,2018,2018.0
"Bulgaria, United States",2017,5.7,80190283,2017,2018.0
Cambodia,2017,5.4,80990658,2017,2018.0
"Cambodia, United States",2017,7.2,80067522,2017,2017.0
Canada,2019,8.0,81173255,2019,2020.0
"Canada, Australia",1977,6.6,80101401,2019,2019.0
"Canada, France, United States",2012,5.0,70243446,2012,2019.0
"Canada, Germany, France, United States",2014,6.2,80013474,2014,2018.0
"Canada, India",2017,8.5,81217438,2017,2019.0
"Canada, Japan, United States",2018,4.0,80189866,2018,2018.0
"Canada, Luxembourg",2014,5.0,80017261,2014,2019.0
"Canada, Mexico, Germany, South Africa",2015,7.5,80022605,2015,2018.0
"Canada, Spain",2016,4.3,80163159,2016,2017.0
"Canada, Spain, France",2013,6.9,70293661,2013,2018.0
"Canada, United Kingdom",1967,3.8,70210883,2016,2016.0
"Canada, United Kingdom, United States",2016,5.8,80105452,2019,2019.0
"Canada, United States",2017,7.5,80216834,2018,2019.0
"Canada, United States, United Kingdom",2016,5.7,80149143,2016,2019.0
Chile,2019,7.1,80241666,2018,2018.0
"Chile, Argentina",2018,6.0,81039410,2018,2019.0
"Chile, Argentina, France, Spain, United States",2016,6.9,80108952,2016,2017.0
"Chile, United States, France",2012,8.4,80098709,2016,2016.0
China,2017,7.0,81019520,2019,2019.0
"China, Canada, United States",2018,6.6,80988892,2018,2018.0
