Title,Release Year,imdb_rating,Genre,show_id,type,title,country,date_added,release_year,rating,duration,listed_in,description,year_added
Safe,2019,9.5,"Action, Crime, Thriller",80201500,TV Show,Safe,United Kingdom,2019-02-05,2018,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him.",2019.0
Oththa Seruppu Size 7,2019,9.1,Drama,81206389,Movie,Oththa Seruppu Size 7,India,2019-11-04,2019,TV-MA,103 min,"Dramas, International Movies, Thrillers","Taken into custody, a murder suspect's theatrical explanations of his peculiar modus operandi unearth truths far beyond the crime he’s accused of.",2019.0
Innocent,2017,9.0,Comedy,81026192,TV Show,Innocent,Turkey,2019-01-23,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In a peaceful, rustic town, a retired officer and his family are mired in a murder mystery riddled with shocking, buried secrets.",2019.0
Pulp Fiction,1994,8.9,"Crime, Drama",880640,Movie,Pulp Fiction,United States,2019-01-01,1994,R,154 min,"Classic Movies, Cult Movies, Dramas","This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.",2019.0
The Lord of the Rings: The Return of the King,2003,8.9,"Adventure, Drama, Fantasy",60004484,Movie,The Lord of the Rings: The Return of the King,"New Zealand, United States",2020-01-01,2003,PG-13,201 min,"Action & Adventure, Sci-Fi & Fantasy","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor.",2020.0
Schindler's List,1993,8.9,"Biography, Drama, History",60036359,Movie,Schindler's List,United States,2018-04-01,1993,R,195 min,"Classic Movies, Dramas","Oskar Schindler becomes an unlikely humanitarian, spending his entire fortune to help save 1,100 Jews from Auschwitz during World War II.",2018.0
Inception,2010,8.8,"Action, Adventure, Sci-Fi",70131314,Movie,Inception,"United States, United Kingdom",2020-01-01,2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers","In this mind-bending sci-fi thriller, a man runs an espionage business built around entering the subconscious of his targets to mold their thoughts.",2020.0
Mallesham,2019,8.8,Biography,81217739,Movie,Mallesham,India,2019-11-20,2019,TV-PG,131 min,"Dramas, Independent Movies, International Movies","A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community.",2019.0
Joker,2019,8.8,"Crime, Drama, Thriller",70219529,Movie,Joker,India,2018-08-02,2012,TV-PG,98 min,"Comedies, International Movies, Music & Musicals",A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.,2018.0
Merku Thodarchi Malai,2018,8.8,Drama,81045060,Movie,Merku Thodarchi Malai,India,2019-01-01,2018,TV-MA,115 min,"Dramas, Independent Movies, International Movies","In southern India, a laborer's dreams of owning a piece of land to farm is complicated by political corruption.",2019.0
