year_added,type,country,total_count
2008,Movie,United States,1
2008,TV Show,United States,1
2009,Movie,Denmark,1
2009,Movie,United States,1
2010,Movie,United States,1
2011,Movie, France,1
2011,Movie, Mexico,1
2011,Movie,Spain,1
2011,Movie,United States,12
2012,Movie, Mexico,1
2012,Movie,United States,4
2012,TV Show,United States,3
2013,Movie,Canada,1
2013,Movie,United States,5
2013,TV Show, Ireland,1
2013,TV Show, United Kingdom,1
2013,TV Show,United States,6
2014,Movie,,1
2014,Movie, Bermuda,1
2014,Movie, Canada,1
2014,Movie, Ecuador,1
2014,Movie, Egypt,1
2014,Movie, United States,2
2014,Movie,United Kingdom,3
2014,Movie,United States,16
2014,TV Show, Canada,1
2014,TV Show, Hungary,1
2014,TV Show, Ireland,1
2014,TV Show, United States,2
2014,TV Show,Canada,2
2014,TV Show,Norway,1
2014,TV Show,United States,3
2015,Movie, Belgium,2
2015,Movie, France,4
2015,Movie, Ireland,2
2015,Movie, Italy,2
2015,Movie, New Zealand,1
2015,Movie, Ukraine,1
2015,Movie, United Kingdom,2
2015,Movie, United States,2
2015,Movie,Australia,3
2015,Movie,Belgium,1
2015,Movie,Canada,2
2015,Movie,France,2
2015,Movie,Germany,1
2015,Movie,Italy,1
2015,Movie,Mexico,1
2015,Movie,New Zealand,1
2015,Movie,Nigeria,1
2015,Movie,Norway,1
2015,Movie,United Kingdom,1
2015,Movie,United States,43
2015,TV Show, Australia,2
2015,TV Show, Canada,1
2015,TV Show, Germany,1
2015,TV Show, Greece,1
2015,TV Show, Italy,1
2015,TV Show, United Kingdom,2
2015,TV Show, United States,2
2015,TV Show,Canada,4
2015,TV Show,France,3
2015,TV Show,Germany,1
2015,TV Show,Japan,1
2015,TV Show,United Kingdom,5
2015,TV Show,United States,18
2016,Movie, Australia,2
2016,Movie, Belgium,3
2016,Movie, Canada,7
2016,Movie, Chile,1
2016,Movie, China,2
2016,Movie, Denmark,1
2016,Movie, Finland,1
2016,Movie, France,5
2016,Movie, Germany,6
2016,Movie, Greece,3
2016,Movie, Hong Kong,1
2016,Movie, Hungary,1
2016,Movie, India,2
2016,Movie, Indonesia,1
2016,Movie, Israel,1
2016,Movie, Japan,1
2016,Movie, Jordan,1
2016,Movie, Kazakhstan,1
2016,Movie, Montenegro,1
2016,Movie, Netherlands,2
2016,Movie, Norway,2
2016,Movie, Peru,1
2016,Movie, Qatar,1
2016,Movie, Serbia,1
2016,Movie, Slovenia,1
2016,Movie, South Africa,2
2016,Movie, South Korea,1
